"3.1.3.10"
"5.4.2.2"
"2.7.1.199"
"3.1.3.9"
"2.7.1.1"
"2.7.1.2"
"2.7.1.63"
"2.7.1.147"
"5.1.3.3"
"5.1.3.15"
"5.3.1.9"
"2.7.1.-"
"3.2.1.86"
"3.1.3.11"
"2.7.1.11"
"2.7.1.146"
"2.7.1.90"
"4.1.2.13"
"5.3.1.1"
"1.2.1.12"
"1.2.1.59"
"1.2.1.9"
"1.2.7.6"
"1.2.1.90"
"5.4.2.4"
"2.7.2.3"
"5.4.2.11"
"5.4.2.12"
"3.1.3.80"
"4.2.1.11"
"2.7.1.40"
"4.1.1.32"
"4.1.1.49"
"1.2.7.1"
"1.2.7.11"
"1.1.1.27"
"1.2.4.1"
"2.3.1.12"
"1.1.1.1"
"1.1.2.7"
"1.1.1.2"
"1.1.5.5"
"1.1.2.8"
"6.2.1.1"
"6.2.1.13"
"1.8.1.4"
"1.2.1.3"
"1.2.1.5"
"1.2.1.-"
"6.4.1.1"
"4.2.1.3"
"1.1.1.42"
"1.1.1.41"
"1.1.1.286"
"1.2.4.2"
"2.3.1.61"
"2.3.3.3"
"2.3.3.8"
"2.3.3.1"
"1.2.7.3"
"1.1.1.37"
"1.1.5.4"
"4.2.1.2"
"1.3.5.4"
"1.3.5.1"
"6.2.1.4"
"6.2.1.5"
"2.8.3.18"
"1.1.1.47"
"1.1.3.4"
"1.1.3.5"
"3.1.1.17"
"1.1.1.360"
"1.1.1.359"
"1.1.5.9"
"1.1.5.2"
"1.1.99.3"
"1.1.1.215"
"2.7.1.13"
"1.1.1.43"
"2.7.1.12"
"1.1.1.49"
"1.1.1.363"
"1.1.1.1388"
"5.3.1.27"
"2.2.1.1"
"2.2.1.2"
"4.1.2.9"
"4.1.2.4"
"2.7.1.15"
"5.4.2.7"
"4.2.1.39"
"4.2.1.40"
"4.3.1.9"
"4.1.2.55"
"4.1.2.51"
"2.7.1.45"
"2.7.1.178"
"3.1.1.31"
"4.2.1.12"
"1.1.1.44"
"1.1.1.343"
"2.7.1.203"
"4.3.1.29"
"4.1.2.43"
"5.1.3.1"
"5.3.1.6"
"2.7.6.1"
"2.7.4.23"
"4.1.2.14"
"1.2.99.8"
"1.2.1.89"
"1.2.7.5"
"2.7.1.165"
"4.2.1.30"
"1.1.1.202"
